title,url,discounted_price,original_price
Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Blue,https://www.cigabuy.com/authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-blue-p-10250.html,$3.63,$33.04 
4 x Authentic Uwell Crown 5 FeCrAl UN2 Single Meshed Coil 0.23ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-single-meshed-coil-023ohm-p-20280.html,$9.25,$15.27 
Authentic MECHLYFE Paramour SBS 80W TC MOD - Black Silver,https://www.cigabuy.com/authentic-mechlyfe-paramour-sbs-80w-tc-mod-black-silver-p-20335.html,$41.57,$80.91 
4 x Authentic Uwell Caliburn G UN2 Meshed-H 0.8ohm Coil,https://www.cigabuy.com/4-x-authentic-uwell caliburn-g-un2-meshed-h-08ohm-coil-p-19943.html,$8.95,$14.91 
Authentic Joyetech Riftcore Duo RTA 3.5ML - Black,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-black-p-12623.html,$6.06,$50.33 
Authentic VOOPOO DRAG 3 177W MOD - Smoky Grey,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-mod-smoky-grey-p-20565.html,$34.27,$37.47 
Authentic Uwell Crown 3 5ML Sub-Ohm Tank Atomizer - Purple,https://www.cigabuy.com/authentic-uwell-crown-3-5ml-sub-ohm-tank-atomizer-purple-p-10648.html,$3.63,$22.83 
10 x SEA WOLF V3 Cleaning Organic Cotton Wick for E-cigarette,https://www.cigabuy.com/10-x-sea-wolf-v3-cleaning-organic-cotton-wick-for-e-cigarette-p-14912.html,$0.84,$2.24 
Authentic MECHLYFE Paramour SBS 80W TC MOD - Grey Black,https://www.cigabuy.com/authentic-mechlyfe-paramour-sbs-80w-tc-mod-grey-black-p-20336.html,$44.66,$80.91 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Black,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-black-p-16656.html,$9.70,$38.16 
4 x Authentic Uwell Crown 5 FeCrAl UN2-3 Triple Meshed Coil 0.2ohm,https://www.cigabuy.com/4-x-authentic-uwell-crown-5-fecral-un2-3-triple-meshed-coil-02ohm-p-20282.html,$13.17,$23.43 
Authentic Wismec Luxotic 100W BF Squonk Kit - Swirled Metallic Resin,https://www.cigabuy.com/authentic-wismec-luxotic-100w-bf-squonk-kit-swirled-metallic-resin-p-12075.html,$16.98,$43.41 
Authentic VOOPOO DRAG 3 177W MOD - Classic,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-mod-classic-p-20569.html,$34.56,$37.78 
Authentic Uwell Crown Pod 1250mAh Pod System Kit - Grey,https://www.cigabuy.com/authentic-uwell-crown-pod-1250mah-pod-system-kit-grey-p-16657.html,$9.70,$38.16 
Authentic VOOPOO DRAG X Plus MOD - Classic,https://www.cigabuy.com/authentic-voopoo-drag-x-plus-mod-classic-p-20579.html,$28.40,$31.05 
Authentic VOOPOO DRAG 3 177W MOD - Sandy Brown,https://www.cigabuy.com/authentic-voopoo-drag-3-177w-mod-sandy-brown-p-20566.html,$33.06,$37.47 
Authentic Fucig EXvape eXpromizer V5 MTL RTA - Brushed,https://www.cigabuy.com/authentic-fucig-exvape-expromizer-v5-mtl-rta-brushed-p-20605.html,$24.98,$26.62 
Authentic Joyetech Riftcore Duo RTA 3.5ML - Blue,https://www.cigabuy.com/authentic-joyetech-riftcore-duo-rta-35ml-blue-p-12624.html,$6.06,$50.41 
Authentic Uwell Crown 5 5ml sub-ohm Tank Atomizer - Black,https://www.cigabuy.com/authentic-uwell-crown-5-5ml-sub-ohm-tank-atomizer-black-p-20264.html,$23.37,$35.65 
Authentic Wismec Luxotic 100W BF Squonk Tobhino RDA Kit - Green,https://www.cigabuy.com/authentic-wismec-luxotic-100w-bf-squonk-tobhino-rda-kit-green-p-11948.html,$14.56,$43.41 
